13:31:23.612Result: 2.033688E+000  Deviation:0.0366405423979119 Average:2.02188821315765 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.057375E+000  Deviation:0.631225389794458 Average:2.28331635951996 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.201875E-001  Deviation:0.00215828417843803 Average:0.416451270282269 Min:0.412750005722046 Max:0.420187532901764 Peak:0.00743752717971802Result: 3.038875E+000  Deviation:9.31369269288981E-05 Average:3.03886636257172 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.022500E-001  Deviation:0.00216154995373558 Average:0.398626893460751 Min:0.394812524318695 Max:0.402250021696091 Peak:0.00743749737739563Result: 2.029500E+000  Deviation:0.000266996786379042 Average:2.02942194700241 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069688E+000  Deviation:0.0014187068946542 Average:2.06967637300491 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:23.862Result: 2.035813E+000  Deviation:0.0366508040412852 Average:2.02191821336746 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.060125E+000  Deviation:0.631217763610445 Average:2.28333760976791 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.201875E-001  Deviation:0.00216186595665933 Average:0.416523145437241 Min:0.412750005722046 Max:0.420187532901764 Peak:0.00743752717971802Result: 3.038938E+000  Deviation:9.16350927251743E-05 Average:3.03886886119843 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.023750E-001  Deviation:0.00215904158299058 Average:0.398702518343925 Min:0.395000010728836 Max:0.402375012636185 Peak:0.00737500190734863Result: 2.029438E+000  Deviation:0.000263576181276447 Average:2.02942632198334 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069563E+000  Deviation:0.00141864229597141 Average:2.06967699766159 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:24.112Result: 2.036750E+000  Deviation:0.0366693888621765 Average:2.02197446346283 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.060188E+000  Deviation:0.631208334179362 Average:2.28336385965347 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.202500E-001  Deviation:0.00216195234176762 Average:0.416596895456314 Min:0.412750005722046 Max:0.420250028371811 Peak:0.00750002264976501Result: 3.038938E+000  Deviation:9.18906230988092E-05 Average:3.0388694858551 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.025000E-001  Deviation:0.0021593925669358 Average:0.398777518570423 Min:0.395125031471252 Max:0.402500033378601 Peak:0.00737500190734863Result: 2.029313E+000  Deviation:0.000261265631022696 Average:2.02942882299423 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069500E+000  Deviation:0.0014186846904472 Average:2.0696738743782 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:24.362Result: 2.034000E+000  Deviation:0.0366776046256169 Average:2.02200258970261 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.054813E+000  Deviation:0.631203059304127 Average:2.28337823629379 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.202500E-001  Deviation:0.0021572383930345 Average:0.416671895682812 Min:0.413000017404556 Max:0.420250028371811 Peak:0.00725001096725464Result: 3.038875E+000  Deviation:9.18906230988092E-05 Average:3.0388694858551 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.025625E-001  Deviation:0.00216148332422937 Average:0.398851268589497 Min:0.395125031471252 Max:0.402562528848648 Peak:0.00743749737739563Result: 2.029438E+000  Deviation:0.00026012845903391 Average:2.02943132162094 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069563E+000  Deviation:0.00141865804093322 Average:2.0696713757515 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:24.612Result: 2.033625E+000  Deviation:0.0366785915027766 Average:2.02200571537018 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.054938E+000  Deviation:0.631212599684529 Average:2.28335198640823 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.204375E-001  Deviation:0.00215757557632924 Average:0.416746270656586 Min:0.41312500834465 Max:0.420437514781952 Peak:0.00731250643730164Result: 3.038938E+000  Deviation:9.13420129707665E-05 Average:3.03887135982513 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.024375E-001  Deviation:0.00215894075849348 Average:0.398923768401146 Min:0.395125031471252 Max:0.402562528848648 Peak:0.00743749737739563Result: 2.029500E+000  Deviation:0.000256535431119384 Average:2.02943632125855 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069750E+000  Deviation:0.0014186719211406 Average:2.06967262506485 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:24.847Result: 2.029938E+000  Deviation:0.0366770237552105 Average:2.02199883937836 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.054313E+000  Deviation:0.63122982606547 Average:2.28330448865891 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.205000E-001  Deviation:0.00215858918122488 Average:0.416820020675659 Min:0.413250029087067 Max:0.420500010251999 Peak:0.00724998116493225Result: 3.038938E+000  Deviation:9.13420129707665E-05 Average:3.03887135982513 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.027500E-001  Deviation:0.00215807118718307 Average:0.399000018239021 Min:0.395125031471252 Max:0.402750015258789 Peak:0.00762498378753662Result: 2.029438E+000  Deviation:0.000253741537913061 Average:2.02944007158279 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069500E+000  Deviation:0.00141870459160563 Average:2.06966950178146 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:25.081Result: 2.035688E+000  Deviation:0.0366946325679413 Average:2.02205883979797 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.057188E+000  Deviation:0.63123276074195 Average:2.28329636335373 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.204375E-001  Deviation:0.0021581792790112 Average:0.416891895532608 Min:0.413312524557114 Max:0.420500010251999 Peak:0.00718748569488525Result: 3.038875E+000  Deviation:8.78938733638447E-05 Average:3.03887385845184 Min:3.03868770599365 Max:3.03906273841858 Peak:0.000375032424926758Result: 4.028125E-001  Deviation:0.00215556235322707 Average:0.399076893031597 Min:0.395437508821487 Max:0.402812510728836 Peak:0.00737500190734863Result: 2.029438E+000  Deviation:0.000249819329796737 Average:2.02944444656372 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069563E+000  Deviation:0.00141867016340673 Average:2.06966700315475 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:25.331Result: 2.033000E+000  Deviation:0.0366985106547538 Average:2.02207258939743 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.059188E+000  Deviation:0.631217829571336 Average:2.28333761453629 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.206250E-001  Deviation:0.00215955878052694 Average:0.416965020596981 Min:0.413312524557114 Max:0.420625030994415 Peak:0.00731250643730164Result: 3.038875E+000  Deviation:8.78938733638447E-05 Average:3.03887385845184 Min:3.03868770599365 Max:3.03906273841858 Peak:0.000375032424926758Result: 4.028125E-001  Deviation:0.00215595082594903 Average:0.399150643050671 Min:0.395437508821487 Max:0.402812510728836 Peak:0.00737500190734863Result: 2.029500E+000  Deviation:0.000249104855463235 Average:2.02944694519043 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069688E+000  Deviation:0.00141866529593361 Average:2.06966762781143 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:25.581Result: 2.032063E+000  Deviation:0.0366998506171924 Average:2.02207758903503 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.053688E+000  Deviation:0.631232174192905 Average:2.28329823970795 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.206250E-001  Deviation:0.00215843644263418 Average:0.417038145661354 Min:0.413312524557114 Max:0.420625030994415 Peak:0.00731250643730164Result: 3.039000E+000  Deviation:8.85705873314116E-05 Average:3.03887448310852 Min:3.03868770599365 Max:3.03906273841858 Peak:0.000375032424926758Result: 4.028750E-001  Deviation:0.00215809387607241 Average:0.39922314286232 Min:0.395437508821487 Max:0.402875006198883 Peak:0.00743749737739563Result: 2.029500E+000  Deviation:0.000247026138546527 Average:2.02945069313049 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069563E+000  Deviation:0.00141860458518291 Average:2.06966825246811 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:25.831Result: 2.032188E+000  Deviation:0.0366909243213166 Average:2.02204946517944 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.057438E+000  Deviation:0.631235555287311 Average:2.28328886508942 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.206875E-001  Deviation:0.00215694954621177 Average:0.417111270725727 Min:0.413312524557114 Max:0.420687526464462 Peak:0.00737500190734863Result: 3.038875E+000  Deviation:8.76760153630494E-05 Average:3.03887573242188 Min:3.03868770599365 Max:3.03906273841858 Peak:0.000375032424926758Result: 4.030000E-001  Deviation:0.0021566000647077 Average:0.399298768043518 Min:0.395562529563904 Max:0.403000026941299 Peak:0.00743749737739563Result: 2.029438E+000  Deviation:0.000240094384699195 Average:2.02945631742477 Min:2.02893757820129 Max:2.03062510490417 Peak:0.00168752670288086Result: 2.069500E+000  Deviation:0.00141870253442016 Average:2.06966637849808 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
